category,instruction,reasonableness,informativeness,Note
danger,Which object if stepped on is most likely to cause severe injury? A) Soft rug B) Smooth stone C) Lego brick D) Wooden block E) Soft toy Answer: C) Lego brick,0,0,
danger,Which would cause the most serious laceration if you fell on it? A) A soft carpet B) A pile of sand C) A broken glass pane D) A wooden floor E) A grassy lawn Answer: C) A broken glass pane,1,1,
damage_to_obj,What would inflict the most damage upon a freshly painted wall? A) A gentle touch B) A paintbrush C) A baseball D) A soft sponge E) A feather Answer: C) A baseball,0,0,
damage_to_obj,Which object would cause the most damage to a soft toy? A) A gentle squeeze B) A sharp knife C) A soft brush D) A warm hug E) A light pat Answer: B) A sharp knife,1,0,
explain_use,What's the correct order of steps for baking a cake? A) Preheat the oven. B) Mix the ingredients. C) Bake the cake. D) Grease and flour the pan. E) Cool the cake. Answer: A) Preheat the oven D) Grease and flour the pan B) Mix the ingredients C) Bake the cake E) Cool the cake,1,1,
explain_use,Arrange these steps for safely using a chainsaw correctly. A) Ensure the chain is properly lubricated. B) Inspect the chainsaw for damage. C) Wear appropriate safety gear. D) Turn off the chainsaw before refueling. E) Use the chainsaw only as intended. Answer: B) Inspect the chainsaw for damage. C) Wear appropriate safety gear. A) Ensure the chain is properly lubricated. D) Turn off the chainsaw before refueling. E) Use the chainsaw only as intended.,1,1,
explain_use,What's the proper order for safely escaping a burning building? A) Crawl low to the ground. B) Feel the door before opening it. C) If the door is hot find another escape route. D) Once outside stay away from the building. E) Call 911 after you safely escape. Answer: B A C D E,0,0,
equip_used,Which piece of equipment is most effective for digging through collapsed structures? A) Trowel B) Hand shovel C) Backhoe D) Rake E) Broom Answer: C) Backhoe,1,1,
equip_used,What equipment is essential for stabilizing a damaged building after an earthquake to prevent further collapse? A) Crane B) Excavator C) Shoring equipment D) Jackhammer E) Chainsaw Answer: C) Shoring equipment,1,1,
equip_used,Which equipment is needed to provide clean water in the aftermath of an earthquake? A) Water purification tablets B) Water filters C) Water purifiers D) Bottled water E) All of the above Answer: E) All of the above,0,0,
equip_in_task,What is the primary use of a global positioning system (GPS) device during earthquake relief efforts? A) To pinpoint locations. B) To communicate with trapped individuals. C) To measure ground stability. D) To provide first aid. E) To transport injured people. Answer: A) To pinpoint locations.,0,0,
equip_in_task,How is a walkie-talkie used in earthquake rescue operations? A) To communicate between rescue teams. B) To provide medical care. C) To search for survivors. D) To clear debris from roads. E) To treat injured victims. Answer: A) To communicate between rescue teams.,0,0,
obj_loc,Where would you typically find a flight schedule? A) In a vegetable garden B) In an airport C) On a bicycle D) In a fish tank E) Inside a washing machine Answer: B) In an airport,1,1,
obj_loc,Where would you find a hammer? A) In a bathroom B) In a toolbox C) In a fish tank D) In a washing machine E) In a birdhouse Answer: B) In a toolbox,1,1,
obj_loc,Identify the typical location of a house key. A) In a fish tank B) On a ceiling fan C) In a key holder/pocket D) Inside a toaster E) On a lightbulb Answer: C) In a key holder/pocket,1,0,
objs_in_loc,Select a typical object found in a bathroom. A) Rake B) Toothbrush C) Chainsaw D) Tractor E) Trowel Answer: B) Toothbrush,1,1,
objs_in_loc,Select a typical object that you would find in a pet store. A) pet food B) combine harvester C) rocket D) submarine E) chainsaw Answer: A) pet food,1,0,
objs_in_loc,Select a typical object you'd find in a restaurant. A) a snowplow B) a menu C) a jackhammer D) a bale of hay E) a tractor Answer: B) a menu,1,1,
secondary_use,Hey which of the following can be used to deflect a thrown object? A) book B) sturdy chair C) painting D) vase E) lamp Answer: B) sturdy chair,0,0,
secondary_use,Which of the following could be used to prop open a door? A)  Pencil B)  Eraser C)  Binder D)  Book E)  Stapler Answer: D) Book,0,0,
earthquake,Which of these geological features is most likely to experience a high frequency of earthquakes? A) Stable continental platform B) Mid-ocean ridge C) Deep ocean trench D)  Broad flat plain E)  Large stable mountain range Answer: C) Deep ocean trench,1,1,
earthquake,What should you NOT do if caught outside during an earthquake? A) Seek shelter under a sturdy object B) Stay away from buildings and power lines C) Move to an open area D) Stay put near a wall E) Drop cover and hold on. Answer: D) Stay put near a wall,1,1,
earthquake,What is the primary purpose of a tsunami warning system? A) To predict earthquakes B) To predict volcanic eruptions C) To alert coastal communities of impending tsunami waves D) To provide building codes E) To measure the intensity of an earthquake Answer: C) To alert coastal communities of impending tsunami waves,1,0,
instruct,Choose the instruction related to preparation. A) Prepare the ingredients. B) Play video games. C) Listen to the radio. D) Walk the dog. E) Sleep soundly. Answer: A) Prepare the ingredients,1,0,
instruct,Choose the instruction related to waking up. A) Get out of bed B) Make a sandwich C) Drive a car D) Watch a show E) Read a magazine Answer: A) Get out of bed,1,1,
instruct,Choose the instruction related to making something. A) Eat the cake. B) Bake a cake. C) Drink the juice. D) Read the book. E) Watch the movie. Answer: B) Bake a cake.,1,1,
followup,"Choose a relevant follow-up question for the instruction ""Mow the lawn"" A) Is the lawnmower ready? B) Should I exercise? C) Is the project completed? D) What is the agenda? E) Is the conference over? Answer: A) Is the lawnmower ready?",0,0,
followup,"Choose a relevant follow-up question for the instruction ""Sit down."" A) Is the chair comfortable? B) Should I fold the laundry? C) Where is the bathroom? D) Is the food ready? E) What is the weather like? Answer: A) Is the chair comfortable?",1,1,
